wpm,filler_rate,pause_count,total_pause_duration,rms_loudness,prosody_variance,repetition_count,self_correction_count,speech_fluency_score
148.9,0.65,4,5.52,0.17,0.65,0,0,85.9
135.0,3.2,5,1.97,0.107,0.518,0,1,67.3
152.2,3.18,3,3.59,0.134,0.451,0,1,65.4
171.5,2.56,1,0.61,0.171,0.464,0,0,72.4
132.8,2.96,4,1.78,0.152,0.521,2,0,73.1
132.8,1.96,3,2.35,0.136,0.763,2,0,78.5
172.7,0.73,2,2.02,0.117,0.335,0,0,78.6
154.9,1.06,6,4.31,0.04,0.621,0,0,85.1
127.7,0.5,1,0.36,0.168,0.591,0,1,82.1
149.9,5.98,3,2.88,0.13,0.388,2,2,35.4
127.8,2.19,4,5.17,0.201,0.74,1,0,73.9
127.8,1.28,3,2.16,0.156,0.601,2,0,76.3
143.3,1.55,7,3.77,0.118,0.444,1,0,82.4
95.9,7.36,1,0.79,0.183,0.241,1,1,35.0
100.1,0.42,4,1.41,0.186,0.554,0,0,77.7
125.6,2.21,7,8.42,0.131,0.513,1,0,73.0
115.7,1.76,4,4.84,0.188,0.365,0,1,68.4
144.9,2.36,6,5.68,0.118,0.363,1,1,67.3
118.0,0.05,3,2.07,0.146,0.65,1,1,78.3
106.9,5.14,8,9.44,0.163,0.227,2,0,41.0
170.2,6.72,6,5.46,0.171,0.567,3,1,35.0
133.0,2.08,1,1.21,0.165,0.492,0,0,78.6
139.5,2.98,4,3.98,0.127,0.595,1,0,76.9
106.7,6.39,3,3.49,0.184,0.476,1,2,35.0
126.0,3.07,3,2.88,0.135,0.564,0,1,66.5
140.4,0.41,5,3.78,0.117,0.409,0,0,90.9
112.7,2.15,4,5.41,0.118,0.513,0,1,68.6
146.3,2.33,5,4.48,0.218,0.593,2,0,79.1
124.8,1.38,1,0.97,0.11,0.543,1,0,79.9
131.6,3.33,4,2.17,0.192,0.577,1,1,69.6
124.8,6.81,3,2.96,0.095,0.381,3,0,35.0
178.8,6.49,3,2.79,0.16,0.431,2,0,35.0
137.7,1.5,5,2.52,0.152,0.434,2,1,74.3
114.7,0.3,2,0.73,0.205,0.479,1,0,79.2
